,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,4_years,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
359,47,27,2018,30:15,3.94,9.7,1.6,4.85,0.43,1.02,1.15,4.19,5.34,5.43,1.47,0.4,2.19,2.43,9.89,0.406,0.329,0.417,0,Lonzo,Ball,G,6.0,6.0,190.0,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
360,43,31,2018,27:39,4.3,10.7,1.56,4.56,1.33,1.72,0.74,3.88,4.63,2.88,0.42,0.51,1.51,1.91,11.49,0.402,0.342,0.77,1,Will,Barton,G,6.0,6.0,190.0,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
361,52,68,2018,14:01,1.87,4.5,0.42,1.33,0.62,0.9,0.67,2.12,2.79,1.54,0.4,0.1,0.58,1.08,4.77,0.415,0.319,0.681,1,Troy,Brown Jr.,F,6.0,7.0,215.0,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
362,74,69,2018,19:33,1.69,4.24,0.32,1.26,0.61,0.81,0.65,1.85,2.5,1.23,0.54,0.49,0.62,2.41,4.31,0.398,0.258,0.75,1,Bruce,Brown,G,6.0,5.0,202.0,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
363,73,73,2018,21:47,3.62,7.74,0.86,2.48,1.19,1.64,0.34,1.97,2.32,3.15,0.51,0.05,1.21,1.74,9.29,0.467,0.348,0.725,1,Jalen,Brunson,G,6.0,3.0,190.0,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
364,44,85,2018,25:13,4.09,8.43,0.14,0.73,2.02,2.55,1.98,5.0,6.98,1.77,0.59,1.32,1.48,3.45,10.34,0.485,0.187,0.795,1,Wendell,Carter Jr.,F,6.0,10.0,255.0,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
365,39,87,2018,14:46,1.44,4.74,0.87,2.62,0.67,0.82,0.36,1.33,1.69,1.77,0.67,0.26,0.85,1.41,4.41,0.303,0.333,0.813,1,Jevon,Carter,G,6.0,2.0,196.0,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
366,25,89,2018,21:14,3.08,6.92,0.96,2.0,2.04,2.56,0.8,1.88,2.68,3.08,0.96,0.36,1.68,2.16,9.16,0.445,0.48,0.797,1,Alex,Caruso,G,6.0,5.0,186.0,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
367,61,105,2018,20:39,2.67,5.74,1.08,3.28,0.48,0.66,1.0,3.23,4.23,2.0,0.54,0.41,0.54,1.33,6.9,0.466,0.33,0.725,1,Pat,Connaughton,G,6.0,4.0,209.0,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
368,69,115,2018,33:44,9.16,19.42,5.13,11.74,3.81,4.16,0.65,4.7,5.35,5.23,1.33,0.36,2.78,2.41,27.26,0.472,0.437,0.916,1,Stephen,Curry,G,6.0,3.0,190.0,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
369,77,125,2018,34:55,8.19,17.05,0.09,0.58,4.75,5.73,0.7,5.3,6.0,6.17,1.12,0.47,2.58,2.3,21.23,0.481,0.156,0.83,1,DeMar,DeRozan,G,6.0,7.0,220.0,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
370,36,136,2018,27:30,4.97,12.03,1.58,4.56,2.19,2.81,0.56,2.53,3.08,4.83,0.83,0.14,1.97,2.25,13.72,0.413,0.348,0.782,1,Goran,Dragic,G,6.0,3.0,190.0,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
371,81,161,2018,31:27,6.23,13.6,1.06,2.86,3.74,5.15,0.53,3.22,3.75,7.28,1.64,0.56,2.8,2.52,17.27,0.458,0.371,0.727,1,De'Aaron,Fox,G,6.0,3.0,175.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
372,19,165,2018,22:27,3.42,8.16,0.21,0.74,1.11,1.95,1.37,2.32,3.68,3.11,0.89,0.26,1.32,2.74,8.16,0.419,0.286,0.568,1,Markelle,Fultz,G,6.0,4.0,200.0,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
373,46,180,2018,14:44,1.61,4.7,0.74,2.63,0.76,1.0,0.22,1.15,1.37,2.63,0.5,0.04,0.65,1.04,4.72,0.343,0.281,0.761,1,Devonte',Graham,G,6.0,2.0,185.0,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
374,66,185,2018,31:18,2.85,6.39,0.71,2.5,0.95,1.38,0.91,6.38,7.29,6.88,1.44,1.06,2.56,2.98,7.36,0.445,0.285,0.692,1,Draymond,Green,F,6.0,7.0,230.0,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
375,75,189,2018,34:58,8.25,17.88,2.52,6.96,5.52,7.33,1.33,6.2,7.53,5.36,0.69,0.37,3.37,2.65,24.55,0.462,0.362,0.753,1,Blake,Griffin,F,6.0,10.0,250.0,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
376,65,191,2018,31:38,6.0,15.28,2.49,7.34,3.57,4.25,0.51,2.91,3.42,2.45,0.83,0.12,1.62,2.17,18.06,0.393,0.34,0.841,1,Tim,Hardaway Jr.,G,6.0,6.0,205.0,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
