  full_name,2022/23 ,2022/23(*)
Deonte Burton,"$105,522","$108,655"
Xavier Sneed,"$102,910","$105,965"
Justin Lewis,"$102,363","$105,402"
Lindell Wigginton,"$99,438","$102,390"
Jordan Schakel,"$96,514","$99,379"
Demetrius Jackson,"$92,857","$95,614"
Stanley Umude,"$58,493","$60,229"
Jeenathan Williams,"$52,644","$54,207"
Armoni Brooks,"$50,000","$51,484"
DJ Steward,"$50,000","$51,484"
Jay Scrubb,"$49,719","$51,195"
Justin Minaya,"$35,096","$36,138"
Kobi Simmons,"$32,795","$33,768"
Gabe York,"$32,171","$33,126"
Ibou Badji,"$18,226","$18,767"
Tristan Thompson,"$16,700","$17,195"
Jacob Gilyard,"$5,849","$6,022"
RaiQuan Gray,"$5,849","$6,022"
