index  PLAYER	2022/23 	2022/23(*)
195.	Caleb Martin	$6,479,000	$6,671,373
195.	Lonnie Walker	$6,479,000	$6,671,373
195.	Bruce Brown	$6,479,000	$6,671,373
195.	Patrick Mills	$6,479,000	$6,671,373
200.	Onyeka Okongwu	$6,395,160	$6,585,043
201.	Josh Giddey	$6,287,400	$6,474,084
202.	Rui Hachimura	$6,263,188	$6,449,153
203.	Rudy Gay	$6,184,500	$6,368,128
204.	Jevon Carter	$6,025,000	$6,203,892
205.	Shaedon Sharpe	$6,012,960	$6,191,495
206.	Otto Porter	$6,000,000	$6,178,150
206.	Cameron Payne	$6,000,000	$6,178,150
208.	Justin Holiday	$5,987,975	$6,165,767
209.	Cam Reddish	$5,954,454	$6,131,252
210.	Cameron Johnson	$5,887,899	$6,062,721
211.	Ricky Rubio	$5,853,659	$6,027,464
212.	Killian Hayes	$5,837,760	$6,011,093
213.	PJ Washington	$5,808,435	$5,980,897
214.	Jonathan Kuminga	$5,739,840	$5,910,266
215.	Pat Connaughton	$5,728,393	$5,898,479
216.	Tyler Herro	$5,722,116	$5,892,015
217.	Romeo Langford	$5,634,257	$5,801,548
218.	Dyson Daniels	$5,508,600	$5,672,160
219.	JaVale McGee	$5,461,219	$5,623,372
220.	Goga Bitadze	$5,377,520	$5,537,187
221.	Obi Toppin	$5,348,280	$5,507,079
222.	Franz Wagner	$5,258,280	$5,414,407
223.	Kendrick Nunn	$5,250,000	$5,405,881
224.	Hamidou Diallo	$5,200,000	$5,354,397
225.	Garrett Temple	$5,155,500	$5,308,575
225.	Cory Joseph	$5,155,500	$5,308,575
227.	Torrey Craig	$5,121,951	$5,274,030
228.	Jeremy Sochan	$5,063,520	$5,213,864
229.	David Nwaba	$5,022,000	$5,171,112
230.	Nickeil Alexander-Walker	$5,009,633	$5,158,377
231.	Furkan Korkmaz	$5,000,000	$5,148,458
232.	Deni Avdija	$4,916,160	$5,062,129
233.	Davion Mitchell	$4,833,600	$4,977,118
234.	Johnny Davis	$4,810,320	$4,953,146
235.	Ty Jerome	$4,728,948	$4,869,357
236.	Ishmael Smith	$4,725,000	$4,865,293
237.	Jalen Smith	$4,670,160	$4,808,825
238.	Ziaire Williams	$4,591,680	$4,728,015
239.	Ousmane Dieng	$4,569,840	$4,705,526
240.	Moe Harkless	$4,564,980	$4,700,522
241.	Donte DiVincenzo	$4,500,000	$4,633,612
241.	Jeff Green	$4,500,000	$4,633,612
243.	Devin Vassell	$4,437,000	$4,568,742
244.	Matisse Thybulle	$4,379,526	$4,509,561
245.	Jarred Vanderbilt	$4,374,000	$4,503,871
246.	James Bouknight	$4,362,240	$4,491,762
247.	Brandon Clarke	$4,343,919	$4,472,897
248.	Jalen Williams	$4,341,480	$4,470,386
249.	Grant Williams	$4,306,281	$4,434,142
250.	Darius Bazley	$4,264,628	$4,391,252
251.	Tyrese Haliburton	$4,215,120	$4,340,274
252.	Nassir Little	$4,171,548	$4,295,408
253.	Josh Primo	$4,144,320	$4,267,372
254.	Jalen Duren	$4,124,280	$4,246,737
255.	Gorgui Dieng	$4,105,236	$4,227,127
256.	Danuel House	$4,105,000	$4,226,884
257.	Boban Marjanovic	$4,101,478	$4,223,258
258.	Justise Winslow	$4,097,561	$4,219,224
259.	Dylan Windler	$4,037,277	$4,157,150
260.	Stanley Johnson	$4,022,164	$4,141,588
261.	Kira Lewis	$4,004,280	$4,123,174
262.	Terence Davis	$4,000,000	$4,118,767
262.	George Hill	$4,000,000	$4,118,767
264.	Chris Duarte	$3,936,960	$4,053,855
265.	Alex Len	$3,918,600	$4,034,950
266.	Ochai Agbaji	$3,918,360	$4,034,703
267.	Jordan Poole	$3,901,399	$4,017,238
268.	Keldon Johnson	$3,873,024	$3,988,020
269.	Sviatoslav Mykhailiuk	$3,846,895	$3,961,115
270.	James Johnson	$3,841,067	$3,955,115
271.	Aaron Nesmith	$3,804,360	$3,917,318
272.	Moses Moody	$3,740,160	$3,851,211
273.	Mark Williams	$3,722,040	$3,832,553
274.	Cole Anthony	$3,613,680	$3,720,976
